pref,city,subcity,name,lat,lon
saitama,さいたま市,大宮区,タイムズ大宮上小町,35.89861,139.60812
saitama,さいたま市,大宮区,タイムズ埼玉精神神経センター第２,35.89421,139.61810
saitama,さいたま市,大宮区,タイムズ大宮上小町第２,35.90559,139.61237
saitama,さいたま市,大宮区,タイムズ大宮東口第２ステーション,35.90440,139.62724
saitama,さいたま市,大宮区,大宮立体駐車場,35.90528,139.62731
saitama,さいたま市,大宮区,タイムズ大宮仲町第３ステーション,35.90521,139.62874
saitama,さいたま市,大宮区,タイムズ大宮吉敷町第３,35.90167,139.62916
saitama,さいたま市,大宮区,タイムズ大宮吉敷町ステーション,35.90143,139.62899
saitama,さいたま市,大宮区,アネシスさいたま新都心,35.89392,139.63627
saitama,さいたま市,大宮区,タイムズＪＡ共済埼玉ビルステーション,35.91374,139.62490
saitama,さいたま市,大宮区,タイムズ大宮土手町ステーション,35.91523,139.62466
saitama,さいたま市,大宮区,タイムズ大宮堀の内町第５,35.91081,139.63495
saitama,さいたま市,大宮区,タイムズ大宮大成町,35.91019,139.61551
saitama,さいたま市,大宮区,タイムズ大宮西口第８,35.90670,139.61441
saitama,さいたま市,大宮区,ルピアコート大宮ルフーレ,35.91532,139.61606
saitama,さいたま市,大宮区,鉄道博物館駅前第２ステーション,35.91894,139.61629
saitama,さいたま市,大宮区,タイムズ大宮東口第６ステーション,35.90598,139.62621
saitama,さいたま市,大宮区,タイムズ大宮大門町第６ステーション,35.90789,139.62971
saitama,さいたま市,大宮区,タイムズ大宮大門町第９,35.90734,139.62943
saitama,さいたま市,大宮区,東横イン大宮駅東口,35.90883,139.62674
saitama,さいたま市,大宮区,タイムズ大宮宮町第１４,35.90987,139.62765
saitama,さいたま市,大宮区,タイムズ大宮宮町第１３,35.91261,139.62722
saitama,さいたま市,大宮区,タイムズ大宮宮町第５ステーション,35.91056,139.62530
saitama,さいたま市,大宮区,タイムズ大宮宮町第９ステーション,35.90971,139.62413
saitama,さいたま市,大宮区,タイムズ大宮宮町ステーション,35.91121,139.62370
saitama,さいたま市,大宮区,レオパレス桜ステーション,35.90982,139.62353
saitama,さいたま市,大宮区,ＵＲ大宮公園駅前ハイツステーション,35.92306,139.63114
saitama,さいたま市,大宮区,タイムズ大宮東町ステーション,35.90726,139.63436
saitama,さいたま市,大宮区,タイムズ大宮東町第３ステーション,35.90744,139.63644
saitama,さいたま市,大宮区,大宮ＪＰビルディングステーション,35.90372,139.61943
saitama,さいたま市,大宮区,ソニックシティ第２（４Ａ）,35.90289,139.61993
saitama,さいたま市,大宮区,ソニックシティ第２（４Ｂ）,35.90294,139.62019
saitama,さいたま市,大宮区,桜木町シャルマン,35.90207,139.62361
saitama,さいたま市,大宮区,タイムズ大宮ソニックシティステーション,35.90506,139.61942
saitama,さいたま市,大宮区,そごう大宮パーキング館ステーション,35.90458,139.62125
saitama,さいたま市,大宮区,タイムズ大宮西口第１０（ＥＶ）,35.90817,139.61924
saitama,さいたま市,大宮区,タイムズ大宮西口第１０,35.90820,139.61916
saitama,さいたま市,大宮区,桜木町モンベリー,35.90503,139.61520
saitama,さいたま市,大宮区,タイムズ大宮西口第４,35.90693,139.61606
saitama,さいたま市,大宮区,タイムズ大宮櫛引町,35.91190,139.61016
saitama,さいたま市,大宮区,タイムズ大宮浅間町ステーション,35.90121,139.63341
saitama,さいたま市,大宮区,タイムズ大宮浅間町第２ステーション,35.90115,139.63199
saitama,さいたま市,大宮区,大宮ルミネ屋上駐車場ステーション,35.90741,139.62262
saitama,さいたま市,浦和区,タイムズビバモールさいたま新都心店,35.88792,139.63495
saitama,さいたま市,浦和区,石内上木崎駐車場ステーション,35.88858,139.63347
saitama,さいたま市,浦和区,浦和パーキングセンター,35.86081,139.65530
saitama,さいたま市,浦和区,タイムズ浦和仲町第１７,35.85952,139.65016
saitama,さいたま市,浦和区,タイムズ浦和仲町第１３ステーション,35.86010,139.65285
saitama,さいたま市,浦和区,タイムズ浦和仲町第６ステーション,35.85902,139.64699
saitama,さいたま市,浦和区,浦和元町２－１４月極ステーション,35.87284,139.65026
saitama,さいたま市,浦和区,タイムズ浦和元町ステーション,35.87176,139.64955
saitama,さいたま市,浦和区,浦和前地２丁目月極第２,35.85660,139.66404
saitama,さいたま市,浦和区,浦和前地２丁目月極,35.85761,139.66305
saitama,さいたま市,浦和区,浦和前地第８駐車場,35.85953,139.66311
saitama,さいたま市,浦和区,タイムズ浦和前地第５ステーション,35.86016,139.66262
saitama,さいたま市,浦和区,タイムズ北浦和東口第１０ステーション,35.87503,139.64597
saitama,さいたま市,浦和区,タイムズ北浦和東口第１１ステーション,35.87520,139.64597
saitama,さいたま市,浦和区,タイムズ北浦和東口第４ステーション,35.87154,139.64770
saitama,さいたま市,浦和区,タイムズ北浦和東口第３ステーション,35.87426,139.64619
saitama,さいたま市,浦和区,タイムズ北浦和第４,35.87307,139.64383
saitama,さいたま市,浦和区,浦和岸町月極青山,35.85163,139.65941
saitama,さいたま市,浦和区,タイムズ浦和岸町第３ステーション,35.85492,139.65481
saitama,さいたま市,浦和区,タイムズ浦和岸町第１０ステーション,35.85649,139.65472
saitama,さいたま市,浦和区,タイムズ浦和岸町第１１,35.85283,139.65161
saitama,さいたま市,浦和区,タイムズ浦和岸町第１３ステーション,35.85627,139.65384
saitama,さいたま市,浦和区,タイムズ浦和常盤第２ステーション,35.86967,139.64909
saitama,さいたま市,浦和区,タイムズ浦和常盤第６,35.86673,139.65038
saitama,さいたま市,浦和区,タイムズ浦和常盤第１１,35.86373,139.65018
saitama,さいたま市,浦和区,タイムズ浦和常盤ステーション,35.87116,139.64672
saitama,さいたま市,浦和区,タイムズ浦和常盤第８ステーション,35.87005,139.64673
saitama,さいたま市,浦和区,浦和本太ミモザパーキング,35.86127,139.66208
saitama,さいたま市,浦和区,タイムズマンスリー浦和本太２丁目,35.86406,139.65951
saitama,さいたま市,浦和区,タイムズ浦和本太第３ステーション,35.86299,139.65524
saitama,さいたま市,浦和区,浦和東仲町２番地,35.86150,139.65594
saitama,さいたま市,浦和区,タイムズ浦和東仲町第５ステーション,35.86136,139.65641
saitama,さいたま市,浦和区,浦和東岸町１１駐車場,35.85450,139.66402
saitama,さいたま市,浦和区,東岸町ＫＰパーキング,35.85399,139.66487
saitama,さいたま市,浦和区,石内東岸町第１,35.85572,139.66206
saitama,さいたま市,浦和区,石内東高砂第３駐車場ステーション,35.85776,139.65977
saitama,さいたま市,浦和区,タイムズ与野東口第３,35.88161,139.64092
saitama,さいたま市,浦和区,タイムズ浦和領家ステーション,35.87811,139.65531
saitama,さいたま市,浦和区,浦和領家５丁目駐車場,35.87762,139.65047
saitama,さいたま市,浦和区,タイムズ浦和領家第２ステーション,35.87784,139.65358
saitama,さいたま市,浦和区,タイムズ浦和高砂第４ステーション,35.85907,139.65375
saitama,さいたま市,浦和区,タイムズ埼玉県庁西ステーション,35.85803,139.64796
saitama,さいたま市,浦和区,高砂マンションステーション,35.85616,139.65209
saitama,さいたま市,浦和区,タイムズ浦和高砂第８ステーション,35.85665,139.65130
saitama,さいたま市,南区,タイムズ内谷７丁目第２,35.83375,139.64635
saitama,さいたま市,南区,タイムズ浦和別所第５ステーション,35.85301,139.64972
saitama,さいたま市,南区,タイムズ浦和別所第３ステーション,35.85397,139.64603
saitama,さいたま市,南区,浦和別所５丁目駐車場,35.84928,139.64404
saitama,さいたま市,南区,プレミアム武蔵浦和,35.84698,139.64220
saitama,さいたま市,南区,ＵＲ武蔵浦和駅前ハイツステーション,35.84667,139.64886
saitama,さいたま市,南区,グランディール武蔵浦和,35.84655,139.64280
saitama,さいたま市,南区,南本町１丁目月極,35.84532,139.66733
saitama,さいたま市,南区,タイムズ南浦和第１３ステーション,35.84907,139.66821
saitama,さいたま市,南区,タイムズ南浦和第１３（大通り側）ステーション,35.84916,139.66850
saitama,さいたま市,南区,南浦和２丁目月極駐車場,35.84698,139.67099
saitama,さいたま市,南区,南浦和月極梅の木,35.84671,139.67177
saitama,さいたま市,南区,タイムズダイエー南浦和東口店ステーション,35.84659,139.67187
saitama,さいたま市,南区,ＵＲコンフォール南浦和ステーション,35.84798,139.67449
saitama,さいたま市,南区,ＵＲコンフォール南浦和２ステーション,35.84786,139.67497
saitama,さいたま市,南区,タイムズ南浦和第１１ステーション,35.84689,139.67339
saitama,さいたま市,南区,タイムズ南浦和第２ステーション,35.84659,139.67288
saitama,さいたま市,南区,タイムズ南浦和第５ステーション,35.84573,139.67197
saitama,さいたま市,南区,タイムズ南浦和第１２ステーション,35.84711,139.67246
saitama,さいたま市,南区,リバーサイド南浦和ステーション,35.85475,139.67527
saitama,さいたま市,南区,アーバンテラス南浦和,35.84192,139.66948
saitama,さいたま市,南区,グランシード文蔵,35.83803,139.67076
saitama,さいたま市,南区,アルフラット文蔵ステーション,35.83923,139.67073
saitama,さいたま市,南区,タイムズ浦和曲本１丁目第２,35.83635,139.63386
saitama,さいたま市,南区,グランシャン曲本ステーション,35.83826,139.63336
saitama,さいたま市,南区,根岸ハイホーム２ステーション,35.84187,139.66223
saitama,さいたま市,南区,タイムズラムザタワーステーション,35.84373,139.64691
saitama,さいたま市,南区,タイムズナリア,35.84263,139.64659
saitama,さいたま市,南区,ラ・アミスタ武蔵浦和,35.84371,139.64254
saitama,さいたま市,南区,奥田第６スカイパーキング,35.84708,139.65596
saitama,さいたま市,南区,武蔵浦和イハラ第３,35.84265,139.65264
saitama,さいたま市,南区,コアロード武蔵浦和ステーション,35.84090,139.65000
saitama,さいたま市,南区,タイムズ浦和白幡５丁目ステーション,35.84540,139.65011
saitama,さいたま市,南区,武蔵浦和奥田駐車場,35.84492,139.65081
saitama,さいたま市,南区,タイムズ浦和白幡６丁目,35.83848,139.65305
saitama,さいたま市,南区,Ｋａｈｕｎａ ｌｅａ南浦和,35.84620,139.66180
