pref,city,subcity,name,lat,lon
saitama,川口市,川口市,上青木西第２駐車場ステーション,35.82410,139.71515
saitama,川口市,川口市,タイムズ並木第１２ステーション,35.81649,139.70792
saitama,川口市,川口市,エステムコート川口並木ステーション,35.81478,139.70578
saitama,川口市,川口市,タイムズ並木２丁目第２ステーション,35.81436,139.70775
saitama,川口市,川口市,タイムズ並木第１６ステーション,35.81493,139.70753
saitama,川口市,川口市,タイムズ並木第３ステーション,35.81830,139.70437
saitama,川口市,川口市,タイムズ並木第４ステーション,35.81898,139.70531
saitama,川口市,川口市,タイムズ並木第１９ステーション,35.82142,139.70776
saitama,川口市,川口市,アリオ川口,35.80810,139.71404
saitama,川口市,川口市,川口中青木ヤザワパーキング,35.81020,139.71914
saitama,川口市,川口市,タイムズ川口中青木第５,35.81057,139.71814
saitama,川口市,川口市,タイムズ川口中青木第３,35.81549,139.71798
saitama,川口市,川口市,川口元郷駅前第２ステーション,35.80187,139.73030
saitama,川口市,川口市,タイムズ川口元郷駅前,35.80161,139.73046
saitama,川口市,川口市,アートレジデンス・カワグチステーション,35.79766,139.73222
saitama,川口市,川口市,ライオンズスクエア川口（屋上）,35.79705,139.73064
saitama,川口市,川口市,タイムズ川口元郷５丁目,35.80044,139.73777
saitama,川口市,川口市,東川口前野３番月極,35.86695,139.73983
saitama,川口市,川口市,タイムズ南鳩ヶ谷第２ステーション,35.81524,139.73689
saitama,川口市,川口市,加藤月極駐車場,35.81619,139.73432
saitama,川口市,川口市,コンフォール南鳩ヶ谷ステーション,35.81600,139.73332
saitama,川口市,川口市,タイムズ南鳩ヶ谷ステーション,35.81765,139.73470
saitama,川口市,川口市,タイムズ南鳩ヶ谷第４,35.81850,139.73577
saitama,川口市,川口市,タイムズ鳩ヶ谷第５,35.83144,139.73629
saitama,川口市,川口市,タイムズ川口駅西口第４,35.79961,139.71788
saitama,川口市,川口市,タイムズ川口駅西口ステーション,35.79949,139.71683
saitama,川口市,川口市,タイムズ川口５丁目第２,35.80543,139.70859
saitama,川口市,川口市,川口５丁目鈴木駐車場,35.80750,139.71039
saitama,川口市,川口市,タイムズ川口５丁目,35.80470,139.71070
saitama,川口市,川口市,タイムズ川口幸町第７,35.80604,139.72106
saitama,川口市,川口市,ラ・フルーラ・メゾン川口ステーション,35.80596,139.72071
saitama,川口市,川口市,川口幸町月極,35.80655,139.71896
saitama,川口市,川口市,幸町中村駐車場,35.80738,139.71870
saitama,川口市,川口市,タイムズ川口第４,35.80584,139.71458
saitama,川口市,川口市,タイムズ川口第３,35.80563,139.71481
saitama,川口市,川口市,タイムズ川口幸町第５,35.80632,139.71747
saitama,川口市,川口市,パレットタウン東川口,35.87411,139.74363
saitama,川口市,川口市,ロイヤルメゾン４,35.87061,139.74353
saitama,川口市,川口市,東川口前野７番月極,35.87110,139.74249
saitama,川口市,川口市,タイムズ東川口第２ステーション,35.87326,139.74833
saitama,川口市,川口市,ロイヤルメゾン１,35.87401,139.74732
saitama,川口市,川口市,デュオヒルズ東川口ステーション,35.87494,139.74719
saitama,川口市,川口市,新井宿駅前第６月極,35.84351,139.73852
saitama,川口市,川口市,川口本町一丁目大熊駐車場,35.79478,139.72566
saitama,川口市,川口市,リフェスト第６,35.79598,139.72591
saitama,川口市,川口市,川口本町２－９月極,35.79866,139.72657
saitama,川口市,川口市,タイムズ川口本町第４,35.79994,139.72297
saitama,川口市,川口市,タイムズ川口本町第５,35.80041,139.71939
saitama,川口市,川口市,ＴＳレジデンス東川口ステーション,35.87655,139.74270
saitama,川口市,川口市,早水月極,35.80345,139.72466
saitama,川口市,川口市,タイムズ川口栄町第４ステーション,35.80234,139.72437
saitama,川口市,川口市,川口栄町３丁目駐車場,35.80430,139.72094
saitama,川口市,川口市,タイムズ川口栄町,35.80403,139.72039
saitama,川口市,川口市,タイムズ川口芝２丁目ステーション,35.83319,139.69579
saitama,川口市,川口市,タイムズ川口芝４丁目ステーション,35.83248,139.69547
saitama,川口市,川口市,タイムズ川口芝５丁目ステーション,35.83190,139.69580
saitama,川口市,川口市,タイムズ川口芝宮根第２,35.84019,139.69631
saitama,川口市,川口市,タイムズ川口芝新町第３ステーション,35.82938,139.69413
saitama,川口市,川口市,タイムズ川口芝新町ステーション,35.82973,139.69330
saitama,川口市,川口市,タイムズ川口芝樋ノ爪ステーション,35.83224,139.68810
saitama,川口市,川口市,タイムズ川口芝西１丁目,35.83417,139.68539
saitama,川口市,川口市,タイムズ西川口西口ステーション,35.81675,139.70219
saitama,川口市,川口市,タイムズ西川口１丁目第６ステーション,35.81408,139.70060
saitama,川口市,川口市,タイムズ西川口１丁目第７ステーション,35.81506,139.69996
saitama,川口市,川口市,タイムズ西川口２丁目第２ステーション,35.81323,139.70053
saitama,川口市,川口市,タイムズ西川口６丁目,35.80966,139.70190
saitama,川口市,川口市,タイムズ戸塚安行第２ステーション,35.85763,139.75399
saitama,川口市,川口市,タイムズ戸塚安行第３ステーション,35.85801,139.75229
saitama,川口市,川口市,タイムズ川口西青木２丁目,35.81577,139.71476
saitama,川口市,川口市,タイムズ川口西青木第２ステーション,35.81692,139.71254
saitama,川口市,川口市,タイムズ川口西青木第３,35.81986,139.71538
saitama,川口市,川口市,タイムズ川口西青木ステーション,35.81779,139.71255
saitama,川口市,川口市,タイムズ川口西青木５丁目ステーション,35.82325,139.71524
saitama,川口市,川口市,タイムズ鳩ヶ谷第４ステーション,35.83201,139.73299
saitama,川口市,川口市,ラ・ルミエール,35.79868,139.72192
saitama,川口市,川口市,タイムズ戸塚安行,35.85887,139.75504
saitama,川口市,川口市,川口リジョイス青木第２,35.80767,139.72525
saitama,川口市,川口市,川口青木３丁目駐車場,35.81127,139.72775
saitama,川口市,川口市,川口飯塚月極,35.80036,139.71410
saitama,川口市,川口市,タイムズ鳩ヶ谷本町ステーション,35.83356,139.73995
saitama,川口市,川口市,タイムズ鳩ヶ谷本町第２,35.83262,139.74006
saitama,越谷市,越谷市,ソレアードＬ・Ｔステーション,35.87420,139.82246
saitama,越谷市,越谷市,ヴェルドミールＫステーション,35.87545,139.82119
saitama,越谷市,越谷市,タイムズ越谷レイクタウン駅前第３,35.87596,139.82337
saitama,越谷市,越谷市,レイクサイドパーキング,35.87857,139.82287
saitama,越谷市,越谷市,レイクタウン駅前月極,35.87742,139.82307
saitama,越谷市,越谷市,七左パーキング,35.86983,139.78150
